#time, unixtime, spillnum, POT
2025/11/29/22:47, 1764424020, 6398231, 201352132415041.1
2025/11/29/22:47, 1764424021, 6398232, 200637297183036.9
2025/11/29/22:47, 1764424023, 6398233, 201020384679789.8
2025/11/29/22:47, 1764424024, 6398234, 200686843922718.1
2025/11/29/22:47, 1764424025, 6398235, 200581803802639.8
2025/11/29/22:47, 1764424027, 6398236, 200971031431673.9
2025/11/29/22:47, 1764424028, 6398237, 200676859758043.7
2025/11/29/22:47, 1764424030, 6398238, 200976849078014.1
2025/11/29/22:47, 1764424031, 6398239, 199851682737122.1
2025/11/29/22:47, 1764424032, 6398240, 200084943266579.2
2025/11/29/22:47, 1764424034, 6398241, 201121516270285.4
2025/11/29/22:47, 1764424035, 6398242, 201418938602182.2
2025/11/29/22:47, 1764424036, 6398243, 200968812728411.7
2025/11/29/22:47, 1764424038, 6398244, 200495906447904.9
2025/11/29/22:47, 1764424039, 6398245, 200482581328903.5
2025/11/29/22:47, 1764424040, 6398246, 201025699248065.4
2025/11/29/22:47, 1764424042, 6398247, 200754720763176.1
2025/11/29/22:47, 1764424043, 6398248, 201203479296563.7
2025/11/29/22:47, 1764424045, 6398249, 199844768638586.5
2025/11/29/22:47, 1764424046, 6398250, 200911900409883.8
2025/11/29/22:47, 1764424047, 6398251, 201181163269578.1
2025/11/29/22:47, 1764424049, 6398252, 200714319724725.5
2025/11/29/22:47, 1764424050, 6398253, 200572787095783.4
2025/11/29/22:47, 1764424051, 6398254, 200634123921394.8
2025/11/29/22:47, 1764424053, 6398255, 199637384380882.2
2025/11/29/22:47, 1764424054, 6398256, 201198332420974.5
2025/11/29/22:47, 1764424055, 6398257, 200663844225542.5
2025/11/29/22:47, 1764424057, 6398258, 200463206373682.2
2025/11/29/22:47, 1764424058, 6398259, 200535146536974
2025/11/29/22:47, 1764424059, 6398260, 200673415608212.3
2025/11/29/22:47, 1764424061, 6398261, 200827602585406.1
2025/11/29/22:47, 1764424062, 6398262, 200449236282801.4
2025/11/29/22:47, 1764424064, 6398263, 200309728865556.1
2025/11/29/22:47, 1764424065, 6398264, 200255267440164
2025/11/29/22:47, 1764424066, 6398265, 199817138043328
2025/11/29/22:47, 1764424068, 6398266, 200633891731519.3
